WARNING [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Illegal string offset 'accessKey', errno=2, file=D:\wwwroot\phalcon\app\library\Helper.php, line=193 [] 
NOTICE [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Uninitialized string offset: 0, errno=8, file=D:\wwwroot\phalcon\app\library\Helper.php, line=193 [] 
WARNING [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Illegal string offset 'secrectKey', errno=2, file=D:\wwwroot\phalcon\app\library\Helper.php, line=193 [] 
NOTICE [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Uninitialized string offset: 0, errno=8, file=D:\wwwroot\phalcon\app\library\Helper.php, line=193 [] 
WARNING [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Illegal string offset 'bucket', errno=2, file=D:\wwwroot\phalcon\app\library\Helper.php, line=193 [] 
NOTICE [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Uninitialized string offset: 0, errno=8, file=D:\wwwroot\phalcon\app\library\Helper.php, line=193 [] 
WARNING [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Illegal string offset 'domain', errno=2, file=D:\wwwroot\phalcon\app\library\Helper.php, line=197 [] 
NOTICE [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Uninitialized string offset: 0, errno=8, file=D:\wwwroot\phalcon\app\library\Helper.php, line=197 [] 
WARNING [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Illegal string offset 'bucket', errno=2, file=D:\wwwroot\phalcon\app\library\Helper.php, line=198 [] 
NOTICE [c7cb26c5ddcc3c5c 2016-12-29 12:46:28  GET ] Uninitialized string offset: 0, errno=8, file=D:\wwwroot\phalcon\app\library\Helper.php, line=198 [] 
ERROR [1ec690bc4364369e 2016-12-30 09:58:32 127.0.0.1 POST /user] App\Model\Db, errno=0, file=D:\wwwroot\phalcon\app\models\Db.php, line=23 [] 
ERROR [b3f01a9d4d7c299d 2016-12-30 10:00:48 127.0.0.1 POST /user] App\Model\Db, errno=0, file=D:\wwwroot\phalcon\app\models\Db.php, line=23 [] 
ERROR [74700610c2e88810 2016-12-30 10:02:45 127.0.0.1 POST /user] App\Model\User, errno=0, file=D:\wwwroot\phalcon\app\models\Db.php, line=23 [] 
ERROR [00fba7e46e1df7e1 2016-12-30 10:03:56 127.0.0.1 POST /user] Model:App\Model\User,table name must be defined, errno=0, file=D:\wwwroot\phalcon\app\models\Db.php, line=23 [] 
